MU,"Micron Technology",47.6,1.05,+2.26%,70369,39.8%,60.2%,0.66246928746929,10/05/20
WKHS,"Workhorse Grp",24.42,0.8,+3.39%,70109,24.6%,75.4%,0.32636497786522,10/05/20
DIS,"Walt Disney Company",123.37,0.82,+0.67%,66500,33.6%,66.4%,0.50517190647563,10/05/20
UBER,"Uber Technologies Inc",37.14,-0.58,-1.54%,65203,46.3%,53.7%,0.86347527865104,10/05/20
SBUX,"Starbucks Corp",88.47,1.9,+2.19%,64166,24.0%,76.0%,0.31568587246258,10/05/20
CSCO,"Cisco Systems Inc",38.57,0.3,+0.78%,62249,40.0%,60.0%,0.66534685251077,10/05/20
RKT,"Rocket Companies Inc",22.56,-0.44,-1.91%,61986,18.7%,81.3%,0.23051574224799,10/05/20
PINS,"Pinterest Inc",44.07,0.25,+0.57%,61584,28.9%,71.1%,0.40705538292817,10/05/20
DAL,"Delta Air Lines Inc",32,0.25,+0.79%,59257,29.2%,70.8%,0.41330375882465,10/05/20
UAL,"United Airlines Holdings Inc",36.2,0.19,+0.53%,58341,33.2%,66.8%,0.49803569135961,10/05/20
DDOG,"Datadog Inc Cl A",106.89,3.4,+3.29%,57152,12.8%,87.2%,0.14613456332097,10/05/20
CRM,"Salesforce.com Inc",251.53,3.68,+1.48%,57012,44.9%,55.1%,0.81543752388231,10/05/20
AMRN,"Amarin Corp Ads",5.06,0.59,+13.20%,55220,6.8%,93.2%,0.073129020347086,10/05/20
WMT,"Wal-Mart Stores",141.8,1.3,+0.93%,55044,24.3%,75.7%,0.32034829331478,10/05/20
MRVL,"Marvell Tech Group",41.52,1.75,+4.40%,55010,28.4%,71.6%,0.39722130502146,10/05/20
TSM,"Taiwan Semiconductor Manufacturing",84.54,3.74,+4.63%,53364,20.8%,79.2%,0.26185859541263,10/05/20
AMC,"Amc Entertainment Holdings Inc",4.13,-0.52,-11.18%,51864,62.9%,37.1%,1.6939538749221,10/05/20
CRWD,"Crowdstrike Holdings Inc",144.88,5.01,+3.58%,49486,18.0%,82.0%,0.21940761914149,10/05/20
NKE,"Nike Inc",127.91,1.27,+1.00%,48643,32.4%,67.6%,0.47873537011704,10/05/20
WYNN,"Wynn Resorts Ltd",73.85,0.65,+0.89%,46932,42.1%,57.9%,0.72702851885925,10/05/20
KODK,"Eastman Kodak",9.03,0.27,+3.08%,46854,19.8%,80.2%,0.24751051706694,10/05/20
CGC,"Canopy Growth Corp",14.94,0.89,+6.33%,46359,13.1%,86.9%,0.1508899977657,10/05/20
JNJ,"Johnson & Johnson",148.23,1.99,+1.36%,45987,40.0%,60.0%,0.66685998042698,10/05/20
FCX,"Freeport-Mcmoran Inc",16.32,0.38,+2.38%,44759,32.2%,67.8%,0.47529582385708,10/05/20
NCLH,"Norwegian Cruise Ord",16.99,-0.28,-1.62%,44594,26.7%,73.3%,0.36398115862238,10/05/20
OXY,"Occidental Petroleum Corp",10.51,0.64,+6.48%,44398,24.3%,75.7%,0.32093659813751,10/05/20
PYPL,"Paypal Holdings",196.85,4.94,+2.57%,43472,27.7%,72.3%,0.38397376715163,10/05/20
SKX,"Skechers U.S.A.",32.32,0.07,+0.22%,43173,4.7%,95.3%,0.049722816572651,10/05/20
SFIX,"Stitch Fix Inc",28.71,1.14,+4.13%,43148,12.8%,87.2%,0.14624232925112,10/05/20
INO,"Inovio Pharma",11.94,0.29,+2.49%,43052,30.3%,69.7%,0.43492317434923,10/05/20
BMY,"Bristol-Myers Squibb Company",59.2,0.48,+0.82%,41656,29.8%,70.2%,0.4249649368864,10/05/20
QCOM,"Qualcomm Inc",120.52,5.05,+4.37%,41124,33.4%,66.6%,0.50131425233645,10/05/20
