PGF,"Financial Preferred Invesco ETF",18.91,0.02,+0.11%,232,81.9%,18.1%,4.5238095238095,08/21/20
MUB,"Natl Muni Bond Ishares ETF",116.23,0.010000000000005,+0.01%,229,72.5%,27.5%,2.6349206349206,08/21/20
SHY,"1-3 Year Treasury Bond Ishares ETF",86.51,-0.01,-0.01%,226,84.1%,15.9%,5.2777777777778,08/21/20
IWN,"Russell 2000 Value Ishares ETF",103.99,-0.84,-0.80%,212,44.3%,55.7%,0.79661016949153,08/21/20
ARKF,"Ark Fintech Innovation ETF",38.77,0.030000000000001,+0.08%,209,4.8%,95.2%,0.050251256281407,08/21/20
EWM,"Malaysia Ishares MSCI ETF",27.35,0.11,+0.40%,206,48.5%,51.5%,0.94339622641509,08/21/20
BZQ,"Ultrashort MSCI Brazil Proshares",15.75,0.33,+2.14%,200,36.5%,63.5%,0.5748031496063,08/21/20
IJH,"S&P Mid-Cap 400 Ishares Core ETF",190.87,-0.41999999999999,-0.22%,193,35.8%,64.2%,0.55645161290323,08/21/20
FXB,"British Pound Sterling Trust Currencyshares Inve",126.68,-1.3,-1.02%,186,80.6%,19.4%,4.1666666666667,08/21/20
KOLD,"Ultrashort Natural Gas Proshares",32.4,-0.9,-2.70%,185,21.6%,78.4%,0.27586206896552,08/21/20
TBF,"20+ Year Short Treasury Proshares",15.15,-0.09,-0.59%,183,13.7%,86.3%,0.15822784810127,08/21/20
SCHD,"Schwab US Dividend Equity ETF",56.35,-0.049999999999997,-0.09%,183,35.5%,64.5%,0.55084745762712,08/21/20
GREK,"Global X MSCI Greece ETF",20.53,-0.23,-1.11%,182,74.2%,25.8%,2.8723404255319,08/21/20
DUG,"Ultrashort Oil & Gas Proshares",42.62,0.62,+1.48%,180,0.6%,99.4%,0.0055865921787709,08/21/20
CURE,"Healthcare Bull 3X Direxion ETF Direxion",65.53,0.23,+0.35%,173,15.6%,84.4%,0.18493150684932,08/21/20
